no,kios,district,name,location,address,rests,lat,lon
83,83,중구, 유평초등학교 앞,유평초등학교 후문 버스정류장 앞/ 유등마을 아파트 112동 맞은편, 중구 태평동 254-15,12,36.330503,127.398008
84,84,중구, 강남한의원 앞,강남한의원 버스정류장 앞, 중구 태평2동 409-21,12,36.326242,127.392813
85,85,중구, 태평1동 주민센터 앞,태평 1동 주민센터 버스정류장 앞, 중구 태평동 331-41,12,36.326129,127.396967
86,86,중구, 삼부프라자 앞,삼부프라자 앞, 중구 태평2동 395-1,12,36.323268,127.393631
87,87,중구, 쌍용예가아파트앞,쌍용예가아파트 정문 앞, 중구 유천동 198-15,14,36.322555,127.39745
88,88,중구, 태평초등학교 앞,삼부아파트6동 건너편/현암 에버드림아파트 복합상가 앞, 중구 유천동 319-1,12,36.322041,127.395508
89,89,중구, 버드내초등학교 앞,버드내아파트 201동 앞, 중구 태평동 422-33,12,36.319017,127.392056
90,90,중구, 유등교,버드내아파트 101동 버스정류장 앞, 중구 유천동 338-13,12,36.315687,127.387821
91,91,중구, 버드내네거리,유천동 하이마트에서 세이 방향/SK주유소 맞은편 버스정류장 (해물탕식당), 중구 유천동 306-18,10,36.316915,127.392467
92,92,중구, 서대전농협,유천동 서대전농협 앞, 중구 유천동 308-7,12,36.3179,127.394698
93,93,중구, 서대전육교 앞,유천동 벽산 프라자 맞은편/ 기아모터스 앞, 중구 유천동 186-7,12,36.318994,127.400953
114,114,중구,태평동성당,태평중학교 후문/호암 웨딩홀 맞은편/토들러 어학원 앞 버스정류장, 중구 태평동 346-1,13,36.329742,127.396777
133,133,중구,오룡역7번출구,,중구 오류동 113-1번지,13,36.322562,127.411996
134,134,중구,중도일보사 앞,,중구 오류동 175-3번지,10,36.326058,127.407828
135,135,중구,서대전역네거리(삼성디지털 프라자),,중구 오류동 168-7번지,13,36.320277,127.405811
136,136,중구,중구청역4번출구(중구청의회),,중구 대흥동 499-1번지,12,36.32549,127.420018
137,137,중구,센트럴파크 302동 앞,,중구 문화동 1-256번지,13,36.31838,127.411655
138,138,중구,센트럴파크 105동 앞,,중구 문화동 284-168번지,13,36.316476,127.407345
139,139,중구,서대전지하철3번출구(대순진리회),,중구 오류동 152-5번지,13,36.3223,127.411634
140,140,중구,대전시민대학 정문,,중구 선화동 287-2번지,16,36.326784,127.419699
141,141,중구,대전 세무서앞,,중구 선화동 184-1번지,13,36.330883,127.419077
142,142,중구,참좋은APT 가자주류대전,,중구 선화동 83-1번지,13,36.331845,127.422864
143,143,중구,중앙로역3번출구(궁죽본점앞),,중구 대흥동 198-1번지,13,36.328029,127.426174
156,156,중구,중촌네거리,,중구 중촌동 398-14,,36.336204,127.414963
157,157,중구,중촌초 건너편,,중구 중촌동 462,,36.340721,127.411047
170,170,중구,대전고 오거리,,중구 대흥동 320-2,,36.322048,127.424027
171,171,중구,대흥 사거리,,중구 대흥동 173-5,,36.323654,127.428506
172,172,중구,부사 사거리,,중구 부사동 129-5,,36.313433,127.433876
192,192,중구,보문산5가,,중구 대사동 118-9,,36.31766,127.425547
193,193,중구,석교동주민센터,,중구 석교동 12-7,,36.309881,127.442013
194,194,중구,[공사중]호동우체국 건너편,,중구 호동 10-14,,36.305003,127.448883
195,195,중구,한밭도서관,,중구 문화동 141,,36.311376,127.40931
218,218,중구,충대병원입구 건너편,,중구 대사동 248-29,,36.315733,127.418256
219,219,중구,문화초등학교4가,,중구 유천동 168-8,,36.313064,127.39958
220,220,중구,머티4가,,중구 산성동 160-9,,36.309132,127.388158
