address,,location,,,,,lat,lon
중구 사정동,,뿌리공원 근처 복수교,,,,,36.299396,127.383089
동구 판암동,,판암동 복지회관,,,,,36.316466,127.458787
동구 판암동,,판암동 5단지,,,,,36.322786,127.458973
유성구 궁동,,충남대,,,,,36.370229,127.345955
유성구 장대동,,장대네거리(유성고속버스터미널 앞),,,,,36.360883,127.335718
동구 낭월동,,낭월동(산내 주민센터),,,,,36.28207,127.467885
동구 가양동,,가양동,,,,,36.347932,127.448563
동구 판암2동,,판암2동,,,,,36.320435,127.451001
동구 용운동,,용운동,,,,,36.327898,127.461765
서구 관저동,,느리울초교,,,,,36.298446,127.344364
서구 관저동,,느리울12단지,,,,,36.297772,127.34239
서구 도마2동 439-6,,배재대학교,,,,,36.320857,127.366176
대덕구 와동,,와동(한국수자원공사),,,,,36.397158,127.426809
동구 석교동,,노블레스타워 부근 석교동에서 운전면허시험장,,,,,36.28583,127.462293
유성구 지족동,,노은3지구 아파트단지 정류장쪽,,,,,36.375969,127.305553
유성구 용산동,,용산동,,,,,36.418687,127.395968
유성구 탑립동,,탑립동,,,,,36.413704,127.403298
서구 정림동,,정림동,,,,,36.302514,127.365925
서구 내동,,내동 안골네거리,,,,,36.3341,127.371816
유성구 신성동,,신성동,,,,,36.386029,127.348015
서구 복수동,,복수동,,,,,36.308386,127.373912
관저 5지구 천년나무아파트근처 가수원4거리,,,,,,,36.305371,127.353318
대전한밭운동장앞,,,,,,,36.3164,127.432911
유성선병원,,,,,,,36.376283,127.323814
유성구 죽동 유성경찰서,,,,,,,36.3783,127.325755
효동현대아파트,,,,,,,36.318272,127.440768
대덕구 읍내동현대아파트앞,,,,,,,36.379774,127.423588
대덕구 송촌동 송촌성당219-1,,,,,,,36.3617,127.445246
대덕구 덕암동 톨게이트앞 행복한마을@앞,,,,,,,36.438393,127.423048
대덕구 덕암동 맥도날드,,,,,,,36.432862,127.423139
대덕구 석봉동 보건소4거리,,,,,,,36.445019,127.426281
대덕구 상서동 173-3 대창아파트 ~KT&G신탄진공장 중간,,,,,,,36.426801,127.42417
대덕구 오정동 주민센타 편의점,,,,,,,36.353436,127.409904
대덕구 오정동 농수산시장앞,,,,,,,36.358899,127.407888
동구 가양동 현대서비스4거리,,,,,,,36.345176,127.445751
동구 비래동 금성백조@,,,,,,,36.358562,127.450156
동구 명석고등학교,,,,,,,36.353082,127.453841
동구 대성동3거리,,,,,,,36.296217,127.460253
동구 대동 407-1,,,,,,,36.33192,127.444362
동구 낭월동 새마을금고,,,,,,,36.283577,127.46624
동구 낭월동 석천들마을조고아파트앞 낭월동715,,,,,,,36.27773,127.467392
동구 용운동 주민센타,,,,,,,36.328325,127.461547
동구 용운동 752 gs편의점근처,,,,,,,36.332815,127.454856
중구 문화동 대문중학교앞,,,,,,,36.308095,127.401036
중구 산성동 주민센타,,,,,,,36.306279,127.386834
중구 사정동 517 우남스타원앞 근처,,,,,,,36.296943,127.384596
중구 옥계동 151-2 신협앞,,,,,,,36.293937,127.397722
서구 가수원역앞,,,,,,,36.298834,127.355805
서구 정림동3거리 남대전농협,,,,,,,36.307664,127.364453
서구 정림동 703 (백목련@),,,,,,,36.303095,127.363409
서구 도미동 (서대전여고앞 도솔공원입구 4거리),,,,,,,36.326203,127.370326
서구 복수동 976 초록2단지신계어린이공원4거리,,,,,,,36.30084,127.378597
서구 복수동 과학기술대학앞(혜천대),,,,,,,36.304301,127.374939
서구 변동 5거리,,,,,,,36.328656,127.381371
서구 괴정동 주민센타,,,,,,,36.337172,127.382086
서구 내동 코오롱@,,,,,,,36.33617,127.369993
서구 갈마동362-4 하나은행근처,,,,,,,36.347543,127.36964
유성구 송강동 송강1단지앞 휴먼시아2차앞 3거리,,,,,,,36.440196,127.384284
유성구 송강프라자앞,,,,,,,36.435623,127.386962
유성구 용산동568 예수희망구족 교회 근처,,,,,,,36.422429,127.39659
유성구 화암동 194-19 만남의광장,,,,,,,36.41663,127.376535
유성구 하기동 송림5단지 6단지 근처,,,,,,,36.39011,127.331048
유성구 하기동 하기초등학교,,,,,,,36.387779,127.322128
유성구 노은동598 동신수산근처,,,,,,,36.367279,127.321892
유성구 죽동 773 (죽동택지개발지구내 새마을금고근처사거리),,,,,,,36.370367,127.337965
유성구 지족동 노은3지구 대전새미래초등학교앞 (말고개3거리),,,,,,,36.381605,127.30223
유성구 계산동 학하지구 오투그란데미학@ 진잠농협앞,,,,,,,36.32639,127.303913
유성구 복용동 삼거리,,,,,,,36.343887,127.315197
둔산동캐피탈타워,,,,,,,36.358255,127.386833
옥녀봉3거리,,,,,,,36.325737,127.348002
성남동스마트뷰,,,,,,,36.344124,127.433855
중리동 동사무소,,,,,,,36.36055,127.426325
노은3지구 4단지?,,,,,,,36.377778,127.304509
갈마동 갈마육교,,,,,,,36.351348,127.371829
관저5지구 ,,,,,,,36.294935,127.336803
동구 삼성동 홍도육교오거리,,,,,,,36.342486,127.42345
월평2동 정류장?,,,,,,,36.362137,127.374263
도안신도시 12~14단지?,,,,,,,36.331991,127.341083
